SP,XCO,YCO
LITHCU,66.7,119.9
SAR1GR,67.1,117.4
SCA2MA,68.1,117.2
APORNI,74,115.5
ALPHMA,73.9,119.5
DACRR1,0,0
MEMEMI,74.5,118.2
KNEMLA,72.1,118.4
XERONO,74.7,113.5
ANI1LA,78.8,110.3
KNEMPA,79.2,119.2
HOPEME,78.6,118
DACRR1,78.8,119.6
PTEREC,78.8,110.1
CALOWA,74.1,109.1
PORTAN,78.2,105.2
PIMEGR,75.5,101.7
SHORM1,76.6,102.8
HOPEME,76,103.5
PEN2ST,74.8,104.8
GIROPA,77,100.8
PEN1MO,72.2,100
MONOMA,42.8,103.9
MEMEMI,44.3,104.9
POL1JE,0,0
IXONIC,46.2,104.5
BOUEMA,45.4,104.7
INTSPA,49.8,103.8
CYNOMA,49.2,103.2
GANUSN,49.6,100.3
ARCHBU,50.8,101.1
XANTEU,47.4,110
XANTEU,49.9,108.2
XANTEU,40,100
APORAR,49.5,108.3
NEPHER,41.6,108.3
CROTLA,42.2,105.8
DACRR1,42.6,116.5
CASTME,40.4,118
SHORM2,44.3,115.9
LITHWA,44.7,113.1
CALOSO,47.6,113.1
PIMEGR,48.4,115.2
CALOWA,48.7,117.1
RYPAKU,48.4,111.4
SINDEC,48.6,115.2
DIPLMA,51.5,111
BACCPY,54.6,111.5
BUCHSE,53.8,117.3
MEMEMI,55.1,119.7
RYPAKU,56.5,113.7
ADENBI,59.4,116
PIMEGR,57,117.8
GARCPA,56.8,115.1
BEILP2,56.2,117.4
EUGESC,57.4,114.6
ALPHMA,56.4,117
SHORM1,59.5,112.7
HORSS2,54.6,109.5
KOOMMA,56.9,108.3
MESUFE,0,0
PHYLEM,55.6,106.6
ONCOMO,58.3,100.9
BEILDI,59.3,100.7
LEPISE,53.1,100.8
SCHOAC,26,101
ARTOLO,26.8,100.5
DACRR1,31.8,100.1
DACRR1,31.5,101.9
MALLPE,28.2,104.5
XANTGR,21,101.9
DYSOCA,21.1,102.7
SAR1GR,29,107.7
EUGECL,27.1,109.1
SHORM1,26.4,109.5
SHORM2,27.8,108.2
LANSDO,23.2,108.8
MALLPE,20.6,112
DRYPLO,30.3,109.8
MALLPE,32.2,108
CROTLA,0,0
MACALO,33.3,109.7
XANTEU,29.9,111.2
MALLPE,29.1,112.3
XANTRU,25.3,113.5
OCHAAM,21.6,112
MALLPE,23.6,116.4
MALLPE,21.8,116.8
CROTLA,21.8,118.4
SHORM1,39.6,108.5
SHORM1,22,119.8
MALLPE,23.4,118.5
MALLPE,28.8,117.6
LITHEW,29.3,118.2
DRYPLO,28.6,116.3
ARCHBU,29.5,116.3
XANTEU,35.1,115.3
SCHOAC,36.4,117.3
SHORM1,35.2,117.4
SHORP1,35.4,116.6
PALAH2,39.7,117.6
DRYPLO,40,119.3
HORSPO,38.1,114.1
EUGENA,38.6,113
EUGEC1,37,113.9
NEPHER,39,109.4
HOPEME,39.4,108.5
MACALO,32.7,114.5
DACRRO,33.2,116.8
LANSDO,38,105.8
DIOSAP,2.8,100.3
DURIGR,3.2,102.9
MONOMA,4.7,104.6
MACALO,8.7,102.6
MESUFE,9.3,103
CROTLA,6.5,106.6
MACALO,1.4,106
BACCRE,8.2,110.2
MEMEO2,8.4,110.7
BOUEMA,7.5,112.9
PRUNAR,0,0
KNEMMA,5.2,115
EUGEP3,2.9,114.5
OCHAAM,3.3,115
CRY1GR,5.8,118.4
MALLPE,13.7,117.2
DACRR1,14,108
DRYPLO,16.8,107
APORAR,17.6,108.1
MACALO,17.6,108.9
DIOSLA,16.3,113.1
SHORM1,17.4,112.8
BOUEOP,16.8,114.3
IRVIMA,14.5,105.8
MACALO,13.5,105.5
KNEMLA,14.2,106.4
EUGESU,15.6,112.5
DACRR1,19.7,102.8
GREWMI,11.3,118.6
ALANRI,4.2,125.7
MEMEPU,4.8,124.8
HOPEDR,5.1,125.2
GONOGR,8.1,122.3
SHORL2,7.8,123.3
NEOSKI,8,121.4
PORTAN,7.2,124.3
GIRONE,5.7,126.2
NEPHOP,8.8,129.2
SHORP2,9.2,128.9
SHORP1,10.4,130.1
MANGQU,13.8,129.8
KOOMMA,4.2,130.2
POL1JE,4.4,131.5
EUGEC1,5.7,131.1
SHORP1,6.4,131.4
CROTLA,8,131
IXONIC,3.6,132.8
NEOSKI,1.2,135
RYPAKU,1.4,137.3
CASTME,3.3,138
SHORP1,0.4,138.2
BEILDI,7.8,136.2
SHORP1,7.6,139.2
MEMEMI,11.5,138.2
GARCPA,12.8,137.5
KIBAMA,15.4,137.2
ARCHBU,11.9,133.9
HOPEME,12.5,133.3
CROTLA,0,0
MANGQU,13.2,131.2
CALOWA,14.4,134.9
XANTEU,13.4,129.1
CROTLA,11.7,123.4
SCA2MA,15.9,127.4
EUGEC1,18.4,128.4
SHORMA,18.5,129.2
DURIGR,17.7,121.5
HOPEME,18,122
TRI3MA,17.7,121.2
MALLPE,11,120.3
EUGESU,0,0
XANTEU,20,120
LEPISE,23.5,122.6
SHORM1,25.2,121
MALLPA,20.4,124.7
APORAR,25.9,126.3
POL1SC,29.9,129.8
LITHWA,31.8,130.6
MESUFE,31.8,130.3
PTYCCO,21.4,129.9
SHORM1,30,130
SHORM1,30.8,130.4
SHORM1,33.2,126.6
SHORP2,30.2,129.4
SHORM2,23.8,130.8
ARCHBU,26.1,132.7
SANTTO,29.5,131.5
BEILDI,29.8,133.1
SHORM1,26.2,133
XANTGR,28.2,132.8
SHORP2,32,133.5
HOPEME,35.3,133
KNEMSC,21.4,132.8
MACALO,21,134.7
EUGEGR,20.5,136.3
SAR1GR,21.4,138.2
CALOWA,0,0
MEMEO2,24,138.3
SHORP2,32,133.5
CALOWA,26.1,138.4
NEOBHE,28.6,139.6
KNEMMA,31,138.5
APORPR,39.5,139.4
AGLAFO,39.4,135.4
SHORM1,39.6,138
PTYCCO,34.1,131.7
SHORM1,0,0
ARCHBU,0,0
GANUSN,32.6,127.6
SHORAC,0,0
SHORAC,36.8,127.2
QUERAR,38,127.2
GREWMI,39.1,128.2
MEMEAM,37.8,124.2
ARCHBU,33.4,123.6
MACALO,35.8,123.4
QUERAR,33.6,125.6
XANTRU,34.3,122.3
SHORM1,32.6,120.8
ELATTA,39.2,121.4
EUGECL,39.1,123.2
MESURA,31.3,122.7
KNEMSC,43.5,120.3
HOPEME,41.2,120.4
MACALO,41.3,122.7
HOPEME,41.3,124.2
MILLAT,47.8,123.6
DACRR1,50,121.2
MILLAT,51.8,121
DACRR1,46,126.2
HOPEME,0,0
MEMEAM,46.7,127.3
CANTDI,45.3,127.6
SHORAC,43.5,128
CANAAP,47.7,128.5
ELATTA,44.8,130.5
MEMEAM,43,130.4
SANTLA,41.9,132
MESUFE,45,131
CROTLA,41.9,133.5
CANAPA,46.4,138.2
EUGEGR,47.8,136.8
EUGEC1,48,138.4
LITHCO,48,136.2
SHOROV,47,136.6
MILLAT,50,137.4
ANI1LA,54.7,137.6
CRY1CA,57.4,139.6
CALOWA,54.8,137.1
AIDICO,57.4,139.6
SHORP2,55.2,134.6
SHORM1,50.8,130.2
ARCHBU,51.3,135.9
MESURA,53,131.4
ARCHBU,52.5,128.8
SAR1GR,53.8,128.6
CANALL,52.6,123
ALANRI,54.3,128.6
BUCHSE,59.6,129.3
KNEMSC,56,125.5
ARTODA,58,122.3
PAYELU,40,139.6
ELATTA,62.5,122.8
DIOSSI,62.2,124.6
CALODE,62.2,123.8
SCHOAC,62,125.6
PTYCCO,60.6,127.1
SANTRU,64.6,125.1
DACRRO,69.2,123.3
LITSFE,66.4,130.1
ELAEFL,65.4,138.3
SINDEC,63.4,129.4
SANDKO,64.9,128.8
NEOSKI,66.4,138.5
RYPAKU,60.1,139.7
SANTTO,62.4,139.8
HORSFL,71.2,137.5
PERKSP,71.2,138.8
MESUFE,71.6,137.7
BACCRE,75.4,136.4
BACCPA,78.3,137.5
SHORP2,77.8,134.6
VATIBE,79.6,134.3
XERONO,79.5,133.2
DIPTC1,77.2,132.3
SHORM1,76,131.2
ANI1LA,74.3,132.6
VATIBE,71.4,130.8
GIROSU,72.8,129
EUGECL,0,0
ALANEB,73.4,128.8
KNEMSC,75.7,129.7
APORSY,78.6,129.7
PEN1MO,70.3,127.6
DRYPLO,70.6,127.8
LANSDO,70.6,126.5
MONOMA,71.4,125.9
XERONO,72.8,124.8
XANTST,73.1,124.4
HERISI,71.6,123.6
MADHL1,77.3,125
DIPTC1,78.4,122
POL1SU,77.8,121.8
AAAAAA,0,0
SCA1SP,81,120.4
XERONO,85.9,120
SANTLA,88.2,121.1
ARDICO,85.4,123.2
XANTST,87.7,123.6
SHORAC,89.6,123.3
TIMOWA,87.5,126.8
IXONIC,88.6,127.8
PTEREC,91.7,128.2
MONOMA,89.7,129.4
EUGEGR,82.6,128
BARRPE,83.7,127.4
EUGESU,81,129.8
BLUMTO,82.6,134.5
XERONO,82.5,137.6
XANTEU,82,139.6
CALODI,83.8,132.8
NEOBHE,84.4,130.2
XANTRU,88.2,131.8
BRACHO,88.8,134.8
LITHCU,88.4,136.7
CYATRA,90,133
CLE1SU,90.2,138.5
DIOSBU,89.7,139.6
DACRR1,84.4,136.5
SHORP2,85.3,137.4
LITHCU,92.1,135.8
CYNOMA,93.4,135.5
ARTOSC,91.1,135.6
SHORM1,93,137.5
DACRR1,93,138.6
PAROVA,97.5,134.1
HOMADI,97.8,131.7
ORMOVE,98.5,130.4
IXONIC,96.9,128
SAR1GR,93.7,130.1
SANDKO,93.2,130.5
CYNOMA,97.1,126.5
HORSS2,97.3,123.6
DIOSLA,99.3,123.7
SCA2MA,91.6,121.6
CALOTE,94.3,122
XERONO,93.7,123
MANGQU,87.9,140.5
XERONO,88.4,140.7
CYATRA,89.3,142.2
XANTEU,85.2,146.2
LANSDO,85.4,145.2
TERMSU,87.7,146.4
MEL1FU,88,145.1
HOPEDR,85.9,147.9
SANDKO,84.8,149.8
DACRLA,84.7,150.3
MONOMA,83,149
CANALR,80.2,150.6
GREWMI,80,152.5
GREWMI,80.1,156.1
SARADE,88.7,159.1
SARADE,84,158.6
SARADE,89.9,157.6
SARADE,89.9,158.3
SARADE,90.6,157.6
SARADE,92.7,157.6
SARADE,94.9,159
SARADE,94.4,156.4
SARADE,93.3,154
SARADE,93.4,152
SYMPFE,90.3,151.6
GYMNFO,96.3,154.4
SARADE,98.2,150.8
PAR1OB,98.9,158.5
SARADE,99.8,149.1
SARADE,98,148
SARADE,98.1,149.2
SARADE,97.9,147.7
SARADE,96.1,146.4
SARADE,96.3,146.1
SARADE,96.7,145.7
SARADE,96.7,145.3
SARADE,99.5,143.3
ARDIPA,80.4,143.8
DIOSA1,69.5,144
ELATTA,60.8,145.3
EUGESU,67.2,146.9
XANTST,67.6,145.2
NEOSKI,0,0
DURIGR,70.8,146.3
ACROPO,71.3,142
CROTER,71.1,142.4
EUGEGR,69,142.9
EUGEGR,69,148.8
HORSS2,70.5,150.7
ALANRI,67.1,150.9
ANI2CO,64.6,151.8
EUGENA,62.2,153.3
CANAME,62.8,154.4
SHORP1,65.6,153.3
RYPAKU,67.6,154.4
SHORM2,60.5,157.4
IXONIC,65.8,158.8
POMEPA,63.8,158.4
DRYPPO,62.2,158.2
KIBAAR,66.3,158.8
SAR1GR,69.8,154.6
PALAMA,69.4,155
OCHAAM,68.7,155.8
PORTAN,68,156.7
KNEMST,70.8,153.8
APORAR,69.9,157.7
SINDCO,73,151.8
BACCKU,60,140
BACCKU,73.8,148.2
SANTRU,76.4,146
MACAHO,75.6,150
MEL1FU,72.1,150
POL1SC,70.4,149.4
KIBAAR,76.9,150.8
PORTAN,0,0
DIOSA1,79.4,151.6
GREWBL,79.2,148.5
ARTODA,77.7,147.7
XANTEU,75.5,157.8
PEN1MO,73.9,154.4
FICUSA,80,140
XANTST,79.4,143.9
AAAAAA,0,0
BUCHAR,79.4,145
REINCI,80,143.1
XANTEU,53.5,140.2
BEILDI,59.8,144.6
SANTTO,40.5,140.4
CANALR,40.9,140.6
SANTTO,41.4,143.4
EUGECL,43.6,144.2
NEOBHE,40.8,141.6
PIMEGR,40.5,143
GREWBL,46.5,147.4
SHORM1,0,0
ARCHBU,43.9,147.3
KNEMLA,45.1,146.8
PORTAN,48.2,148.3
GREWMI,47.4,149.8
RYPAKU,49,151.9
SHORM2,52.2,150.1
XERONO,50.7,149.3
MESURA,50.6,148.8
ALPHMA,53.4,149.5
CANAPA,53.1,151.1
GYNOAX,53.1,153.1
LITSCO,42.6,149.8
GLUTM2,43.1,153.9
MONOMA,42.7,154
RYPAKU,42.1,154.8
EUGECH,40.5,154.6
KNEMFU,44.4,157.5
GANUSN,49.8,156.8
OCHAAM,49.6,155
DRYPLO,52.5,156.1
KNEMSC,55.4,153
ANI1LA,59.6,151.7
EUGEDU,56.4,150.9
PAYELU,57.2,148.8
GIROPA,59,148.3
ONCOMO,56.5,147.2
DACRR1,54.2,148.1
LANSDO,53.7,142.3
SANTAP,55.4,142.3
SHORL2,56.2,143.6
MILLAT,56.6,142.2
OCHAAM,57.4,145.4
HOPEME,23.9,140.3
CANALR,26.5,141.3
MILLAT,27.8,141.4
PAROVA,28,140.5
DIPLMA,30.4,149.4
DRYPKI,30.8,142.6
ARCHBU,32.8,142.3
SANTTO,32.9,145.3
KNEMMA,29.2,145.5
SCA2MA,28.4,148.2
SHORL1,28,149
DIALWA,30.3,149.5
XANTEU,31.4,149.4
SHORM2,29.7,151.7
DIPLMA,26.6,151.1
MESUFE,21.5,149.1
SHORM2,22.1,147
CROTAR,22.4,144.7
CROTAR,25,147.5
EUGEC1,22.2,151.2
SCHOAC,22.4,153.2
PORTAN,22.8,153.5
CROTAR,22.1,153.8
SHORM2,23.5,154.2
PIMEGR,20.8,154.6
CALOMA,23.4,153.3
SCA2MA,24.7,158.6
SANTLA,24.7,159.1
MONOMA,24.4,159.7
ARCHBU,32.8,153.2
EUGEP3,33.8,152.8
KNEMCO,33.2,151.7
RYPAKU,32.3,150.2
VATIBE,34.7,149.9
LITHRA,35.9,152.7
OCHAAM,38.2,150.5
SAR1GR,37.9,149.5
EUGERI,38.9,150.6
DRYPLO,38.6,147.3
CROTAR,39.6,148
CALODI,37.6,142.5
SHORP2,33.5,141.5
NEPHCO,4.5,142.3
KNEMHO,7.1,145.2
BACCRE,5.8,143.8
CASTME,5.5,142.8
MEL1FU,4.6,148.8
HOPEME,5.7,148.9
EUGEC1,0.4,148
SHORP1,1.3,145.3
BEILDI,1.1,150.6
RYPAKU,0.9,152.9
CALODI,8.3,152
MONOMA,5,152.2
XANTEU,7.8,152
GIRONE,3,155
ARTOLO,0.6,159.2
CANTDI,8.9,148.5
PARKSP,10.6,147.3
SHORM2,14.9,156.3
DIOSBU,16.1,159.1
EUGEC1,19.4,157.1
SHORM1,18.1,152
XANTGR,16.8,152.4
CARABR,15.8,152.3
IXONIC,6.9,148.8
ARCHBU,13.2,148.4
CROTAR,15.4,149.3
PAR1CO,19.3,145.3
BACCRA,16.7,143.9
ALANRI,15.5,141.9
MESURA,13.5,140.3
ALPHMA,11.1,144.3
BACCRA,0.7,163.9
PTYCCO,3,162.3
CANALR,8.5,160.7
EUGEGR,8.5,166.7
GREWMI,8.6,164.2
PTYCCO,7,167.8
XANTEU,8.1,170.6
NEOSKI,8,171.2
DIOSBU,7.7,170.9
XANTST,2,171.3
CRY1RU,5.2,171
MESUFE,0.7,171.5
EUGEFI,2.4,170
APORPE,2.3,175.4
DILLSU,0,0
XANTST,9,176.9
MONOMA,9,175.4
HOPEBR,6,177.6
PALAMA,10.9,177.6
DACRR1,11.1,177.4
ARDICO,12.2,179.5
IXONIC,14.8,176.9
DIPTKU,10.8,165.7
DACRRO,0,0
SHORM2,8.8,167.6
MONOMA,17.3,167.7
LITHSU,14.7,171
HOPEDR,14.4,168.4
ARTOLO,17.1,164.6
ANI1LA,19.2,165.2
XANTGR,13.9,162.2
GARCNI,21.4,161.4
SHORAC,27.2,163.2
SHORP2,28.8,161.1
KNEMPA,28.6,161.4
EUGEP3,29.2,161.2
XANTEU,30.7,161.2
HOPEME,28.4,163.8
XYLOFO,30.1,164.3
EUGEGR,24.2,167.5
KOOMMA,23.3,166.9
SHORP1,23,168
IXONIC,21,167.2
PTEREC,25.8,169.7
ALANRI,21,172.2
MYRIM1,21,176.1
GONYAF,22.1,173.5
SANTLA,22.2,178.1
OCHAAM,23.3,177.9
NEPHCO,28.7,173.7
SCA1SP,26,174.3
SINDVE,29.7,173.3
LICASP,29.7,175
CALODI,32.2,175.1
LINDOX,0,0
SANTLA,32.4,167.4
HERIEL,32.1,171.3
BHESPA,33.1,171.7
MEZZLE,35,171.2
PORTAN,34.9,173.9
EUGEP3,37.9,172.6
GREWMI,38.1,170
HOPEDR,38.8,169.5
XYLOFS,39.7,178.5
CHISER,39.2,168.3
CROTAR,39.4,166.4
DRYPLO,38.9,165.2
MILLAT,39.1,164.3
ACTIPR,39.7,161.6
CALODI,34.7,160.9
PALAMA,35.9,164.5
MEL1FU,0,0
MYRICI,36.6,164.5
DACRR2,40.4,170.8
DACRLA,41,160.2
CALODI,40.5,161.5
HOPEDR,43,160.7
XYLOFS,41.8,160
DIALWA,43,161.8
SHORM1,44.9,160.1
ELATTA,46.8,160.2
ALPHMA,47.8,160.1
SINDVE,51.8,160.6
OCHAAM,49.7,162.9
MEZZLE,51.9,163
ALPHMA,50.7,164.3
BEILP2,50.7,168.4
RYPAKU,45.3,168
DACRR1,46.4,165.6
POMEPA,43.7,168.4
LANSDO,42.5,169.9
OCHAAM,40.5,171.3
GONOGR,42.3,172.6
LANSDO,41.8,173.9
LEPISE,42.8,173.1
PTEREC,45.8,172.7
LITHSU,50.7,173.6
XANTEU,50.4,177.5
TRI1HY,44.5,177.8
SANTTO,42.6,178.7
DACRR1,44.1,179.7
DIPTC1,52.9,177
SHORP2,52.4,177
SHORAC,57.1,178.9
EUGECL,55.3,179.4
ARCHBU,57,177.8
SHORP1,57,175.5
XANTGR,54.4,174.2
MONOMA,53.8,172.5
DACRR1,54.4,172.2
SHORDA,56.5,171.1
CROTAR,56.4,170
PIMEGR,56.3,170.1
CALODI,56.7,168.5
SHORP2,55.1,167.2
BACCRE,59.1,171
KIBAAR,59.9,165
APORNI,57.3,160
CROTAR,59.5,162.7
PIMEGR,60,162.8
PALAH2,69.6,163.2
PAROVA,67,165.8
XERONO,70.1,163.1
KOILLO,71.9,164.1
POL1SU,71.3,163.2
ALANEB,70.4,163
SHORM1,66.2,169.7
PALAMA,68.3,170.1
ALANEB,72.1,167.9
CYATRA,69.9,170.3
XYLOFS,69.9,171.2
BACCMI,60,160
SANTTO,64.1,169.9
PORTAN,65,172
GARCAT,64,172.2
POL1HY,61.9,171.2
ARCHBU,64.6,178.1
DIOSLA,69.4,176.5
DRYPLO,72.6,172.3
DACRCO,72.1,178.2
SHORL1,75.1,178.7
SHORL1,72.7,178.5
XYLOM1,71.6,178.1
RYPAKU,79.7,178.3
CANTDI,79.8,175.7
GREWBL,75.9,172.9
MONOMA,70.9,173
DACRR1,73.3,173.5
NEOBHE,75.1,170.2
APORAU,74.4,170.4
ALANEB,74.1,169
KOOMMA,77.2,166.8
PAYELU,0,0
PEN1MO,78.8,169.4
BARRPE,74.5,163.6
SCA1SP,70.4,163.2
DIOSLA,79.9,165.2
XANTEU,63.7,179.8
XERONO,80.9,161.7
DACRR1,80.2,169.6
CYNOMA,85.4,168.3
XERONO,82.9,168.6
BUCHSE,82,164
ARTORI,82.9,171.2
SARADE,86.1,179.1
GIRONE,82.8,178.7
SARADE,87.3,177.2
SARADE,86.8,176
SARADE,89.3,179.6
SARADE,89.6,178.1
SARADE,87.5,171.7
DRYPPO,85.8,172
SARADE,88.4,170.2
SARADE,89.2,169.1
SARADE,89.8,166.2
SARADE,91.3,162.7
SARADE,92.2,171.5
SARADE,94.9,172.5
SARADE,94,174.6
SARADE,92.2,174.5
SARADE,92.8,175.9
SARADE,93.7,177.7
SARADE,95.9,177.1
SARADE,99.2,177.7
SARADE,95.6,178.4
SARADE,95.8,179.6
SARADE,99.7,172.7
KNEMMA,95.7,165.2
MEMEO2,99.2,162.5
BARRPE,81.7,190.3
BACCRA,82.4,189.5
RYPAKU,82.6,186.4
XYLOCA,83.4,185.1
DACRR2,81.6,192.1
ARTOSC,81.5,194.3
LEPISE,84.9,196
GIRONE,86.6,195.9
MYRIM2,87.6,194.6
LEPISE,88,194.4
LANSDO,84.2,199.2
HOPEME,80.8,197.9
EUGEFI,85.1,197.5
CANAP2,89.3,197.9
XERONO,93.1,199.7
SARADE,89.9,191.9
SARADE,86.8,186.7
SARADE,88.1,184.6
SARADE,87.8,184.7
SARADE,88.5,184.6
KNEMLA,89,185.2
SARADE,94.5,192
SARADE,95.2,191.3
SARADE,94.9,196.7
SARADE,95.5,198.2
SARADE,96.5,198.6
SARADE,98.8,199.3
SARADE,96.4,199.5
SARADE,99.6,197.4
SARADE,91.6,199.5
SARADE,89.4,199.6
SARADE,87.8,199.8
SARADE,91.9,180
SARADE,97,188.5
SARADE,95.2,188.4
SARADE,92.1,188.8
SARADE,90.3,185.7
SARADE,91.7,183.9
SARADE,99.5,185.9
SARADE,99.6,184.2
SARADE,99.9,183.7
SARADE,99.9,182.5
SARADE,99.6,181.2
SARADE,98.6,181
SARADE,99.7,180.6
SARADE,94.3,180.5
SARADE,93,180.4
SARADE,92.4,181.9
DIPTC1,0,0
BACCRA,65.7,181.4
XYLOM2,64.6,182.4
ALPHEL,63.8,184.6
EUGE10,62.7,186.4
DIPLMA,68.5,183.8
POL1SC,61.8,188.8
DIALPL,62.6,189
SHORAC,62.8,191.3
DIALPR,69.1,193.9
ELAENI,0,0
POPOTC,70.5,194.5
CALODI,70.6,195.9
SHORL1,69.2,196.3
CROTAR,70.9,196.8
ANI1LA,62.2,196
ADENBI,63.7,194.5
GREWFI,66.5,197.2
MILLAT,61.4,196.4
EUGEDE,62.7,196.4
EUGEDE,63.1,193.2
ANI1LA,66,197.4
XERONO,63.1,197.5
SHORM1,62,198.5
APORBR,61.3,199.8
OCHAAM,68,199.8
CANTDI,72.5,195
RYPAKU,74.3,192.6
SAPIBA,77,196.5
PARKSP,76.9,197.2
SHORL1,79.3,194.6
CALORU,79.1,195.5
MEL1TO,76.5,193.3
CALODI,79,192.5
CANALR,79.2,191.8
KOILLO,78.9,189
PTYCCO,77.4,188.2
IXONIC,79.2,184.5
PIMEGR,76.7,188
GARCS1,74.8,188.7
POPOTC,70.3,190.9
KNEMCU,68.6,189.6
ARTOSC,68.4,190.3
PIMEGR,69.5,191.1
POL1RU,71.1,188.3
LITHCU,76.6,180.6
CHISTO,74.1,180.9
CROTAR,73.8,182.8
SAR1GR,71.1,182.2
SANDKO,70.4,181.4
SHORM1,55.3,182.2
SCA2MA,41.7,181.2
POL1SU,45.4,180.9
BACCRE,43.7,184.5
DRYPLO,49.2,184
AAAAAA,0,0
CROTAR,49.4,185
RYPAAC,52.4,183.5
POL1SU,48.2,188.8
ALANEB,52.4,189
ALANRI,45.7,189.7
EUGESP,46.3,190.8
SANTLA,47.8,194.3
SHORP1,43.7,194.9
XERONO,43.6,195.1
SHORBR,50.3,195
TRIOMA,51.8,194.7
PIMEGR,50.5,193.5
CYNOMA,49.7,199.3
CROTAR,49.2,197.6
MESUFE,58.3,195.8
EUGES2,54.8,199.6
SHORM1,57.3,196.6
MANGFO,57.5,191.5
PIMEGR,55.8,190.2
CALODI,55.6,190.2
DACRCO,52.3,189.9
PEN1MO,0,0
LITHRA,58.1,184.4
CALOWA,58.3,183.4
APORBR,54.4,183.2
HOPEDR,53.7,185.2
MEMEO2,56.5,180.6
SHORM1,0,0
ALPHEL,56.7,181.3
ALPHEL,56.8,181.4
PTEREC,25.3,181.1
SHORM3,31.3,180.2
NEPHPA,34.1,180.3
ACTIPO,0,0
DACRR1,26.6,187.7
MONOMA,25.7,188.9
ALPHMA,23.9,191.4
CALODI,22.9,190.4
EUGESD,27.2,190
ALANRI,21.1,185.7
CRY1IN,20.8,186.6
MONOMA,32.1,194.7
PORTAN,31.9,191
VATIBE,32.5,196.7
CINNIN,32.7,192.2
SHORP1,34.6,191.7
TIMOWA,31,194.5
CALOWA,36,196.7
AIDICO,37.5,194.5
SHORP1,36.3,194.4
CROTAR,35.1,195
APORSY,38.1,191
SHORP1,39.1,196.1
NEPHMA,35,185
POL1HY,36.9,184.4
SHORP1,39,187.2
ACROPO,33.4,183.1
PEN1MO,34.6,183.7
INTSPA,35.9,180.6
MONOMA,35.6,182.6
ALANRI,5.5,190.1
GREWMI,4.8,190
EUGERI,5.8,189.6
SCA1SP,3,186.8
GARCBA,2.7,186.2
DACRRO,2.7,184.8
HOPEME,8.3,192.7
CALODI,5.4,191.2
CROTLA,5.8,192.4
VATIBE,4.8,190.8
EUGERI,3.2,192.5
GREWBL,1.7,191.1
POL1HY,2.2,194.4
XYLOFS,10.2,197.9
EUGEFI,12.8,193.9
SHORM1,13.4,191
DURIGR,15.8,189.2
NEPHMA,17.1,187.4
ANI1LA,17.8,182.6
OCHAAM,19.5,184.7
SHORL1,12.6,186.7
MESURA,18.6,198
CANAPA,13.8,188
SAR1GR,16.4,190.2
SHORM2,16.9,192
MESURA,19.2,191.3
DURIGR,17.7,197.6
OCHAAM,16.6,198.1
KNEMSC,19.9,197.1
BACCHO,16.4,186.1
