SPECIES,XCO,YCO,DBH2023,GROWTH2123,CLASS2023
DACRR1,9.7,10.9,20,-0.1,4
ARTOIS,19.5,12.2,15.1,0.4,3
APORCO,19.1,12,12.8,0,3
SHORM1,18.2,12.8,13.8,0.5,3
ALANRI,19,11.2,15.1,-0.3,3
PORTAN,19.1,10.6,12.3,-0.1,3
SHORP2,18.6,19,13.3,0.2,3
DIPTC1,19.7,10.6,30.4,0.4,5
MACALO,20,10.5,12.6,0,3
EUGEFL,14.3,6.4,38.9,-0.2,5
XERONO,14.5,7.5,13.5,0.1,3
APORBR,16,8,13.7,0.1,3
CROTLA,15.6,6.4,11.6,0.2,3
PTYCCO,15.6,1.1,13.2,-0.4,3
DIOSNU,16.2,0.5,11.8,0.2,3
KNEMMA,14.6,0,25.9,-0.1,4
ARCHDI,8.5,1.2,19.8,0.4,3
XYLOM2,8.8,1.4,15.1,0.2,3
HORSCR,28.5,1,12.4,0.3,3
DACRR1,33.5,0.4,12,-0.1,3
CLE1SU,33.7,2,16.7,0.1,3
DACRR1,29.7,8.9,14.6,0,3
DACRR1,22.5,6.6,17.2,0,3
APORBR,24.1,7.1,12.6,0.1,3
SHORP1,23.5,7,12.4,0.4,3
HERISI,32.1,17.4,11.5,0,3
CHISTO,34,19.5,13.8,0.1,3
DACRR1,36,7.3,19.2,0.2,3
ANI2CO,37.1,10.2,14.9,0.1,3
SANTLA,35.3,9.8,11,0,3
CLE1SU,45,2.7,23.4,0,4
CYNOMA,42.5,4.2,14,0.2,3
DIPLMA,41.4,7,11.6,0.4,3
MANGQU,43.2,12.9,17.7,0.4,3
GANUSN,40.4,13.4,13.7,0.1,3
CLE1SU,48,15,11.8,0.1,3
MYRICI,49.5,15.8,11.1,0.1,3
OCHAAM,48.7,11.8,19,0.2,3
GREWMI,48,12,12.3,0.1,3
RYPAKU,56.2,17,16.6,0.4,3
PAYELU,56.6,16.5,14,0.4,3
CLE1SU,58,12.2,13.8,-0.1,3
PORTAN,58.8,11.4,22.7,0.3,4
BEILL1,55.2,2.2,15.9,0.1,3
POMEPA,61,3.5,13.9,0.3,3
SCA1SP,69.5,1.8,12,0.4,3
ALPHEL,61.8,3.3,20.1,0.3,4
CLE1SU,65.5,4.9,15,0.1,3
GREWMI,71.6,6.5,17.4,0.2,3
APORPR,69.4,7.2,11.7,0,3
SHORL1,68.7,18.9,9.2,-5.3,2
MACALO,67.9,16.5,11,0,3
DIOSS1,61.1,17.2,17.9,0.4,3
DIPLMA,62,15.7,11.1,0.1,3
XANTEU,78.8,14.1,14.8,0,3
LITHEW,79.3,7,21.2,0.2,4
ARCHBU,79,1.4,19.1,0.2,3
ALANEB,79.2,1,13.4,0.2,3
DIOSAP,81,5.4,18.5,0,3
OCHAAM,95.6,17.4,13.6,-1.3,3
ALANEB,95.4,17.2,11,0,3
OCHAAM,92,0.4,10.4,-0.1,3
DACRR2,98.1,16.3,15.1,0.1,3
QUERAR,98,17.1,14.7,0.2,3
DILLSU,90,19,13.2,0.2,3
ELATTA,96.1,2.3,11.1,-0.1,3
PARKSP,99.2,3.5,13.1,0.3,3
RYPAAC,93.7,4.3,32.8,0.3,5
DIOSSU,92.5,1.2,11.2,0.3,3
DIOSBU,91.2,0.5,13.3,0.2,3
XANTRU,80.8,28.2,14.9,0.1,3
MACACO,81.2,22.2,11.3,0.1,3
AIDICO,89.8,34.2,12.3,0.2,3
PAR1OB,85.1,39.4,26.9,0.4,4
ARDICO,86,39,15.6,0.4,3
DIPLMA,89.3,37.7,17.2,0.1,3
CANALL,81.2,39.7,12,0.5,3
SANTLA,93.6,29.9,18.2,0.1,3
ARTOIS,94,28.5,15.6,0.1,3
MACALO,94.8,26,12.5,0.1,3
GARCMA,99,22.1,12.8,0.1,3
SANTLA,98.2,20.3,30.3,-0.4,5
GARCPA,99.6,20.4,11.6,-0.2,3
SANTLA,48.5,22,11.8,-0.1,3
DIOSAP,44.6,26.3,28.7,0.5,4
ALPHEL,48.2,30.2,13,0.5,3
SHORM2,46,38.2,12.7,0.1,3
CROTLA,47.2,38.5,14.9,0.5,3
NEPHER,51,38,13.5,0.1,3
DURIGR,56.5,30,11.8,0,3
KOKOOC,23.2,26.6,12.8,0.4,3
RYPAKU,21.5,32.9,18,0.1,3
SANTLA,36,30.5,14.4,0.4,3
HORSPS,1,32.4,13.4,0.1,3
HUNTZE,0.5,35,13.1,0.3,3
SANTLA,9.8,37.3,17.1,0.3,3
DACRRO,8.3,35,15.8,0.1,3
DACRR1,12.7,33.1,18.9,0.4,3
KNEMMA,12.3,28.8,16.1,0.4,3
EUGERI,18.1,21.2,13.1,0.4,3
KNEMSC,14,21.4,23.7,0.5,4
MACALO,7.1,40.3,16.2,0.2,3
PSYD10,10.8,47.3,12.2,0.1,3
NEOSKI,13.4,47.8,12.4,0.3,3
DRYPLO,0.4,45,14.7,0.3,3
ARTORI,3,43.8,16.1,0.3,3
DIALPA,5.1,57.3,17.5,0,3
EUGEFI,3.3,55.3,21.9,0.5,4
PAYELU,6.5,56.2,14,0.4,3
APORAU,5.4,53.4,12.3,0.1,3
MALLPE,12.2,57.8,24.3,0.2,4
ARCHCL,15.5,51,15.8,0.3,3
XANTAF,16.3,49,11,0.1,3
KIBAAR,19.5,46.4,17.8,0.2,3
KNEMHO,20,45.1,13,0.1,3
CANALT,24.8,42.3,15.7,0.5,3
SHORM2,27.4,42.4,18.9,0.1,3
PYREAC,23.5,57,18.3,0.5,3
KNEMLA,37.6,58.7,11.6,0,3
SANDKO,34.3,49.2,23.5,0.3,4
DACRR1,36.2,57,10.5,0,3
SCA1SP,35.2,48.2,11.6,-0.3,3
MACALO,35.5,46.4,11.8,0.3,3
CROTLA,36.6,47.2,10.9,0,3
BEILKU,34.7,45.9,16.4,0.5,3
RYPAAC,32,46.7,13.4,0.2,3
ALANRI,31.6,49.8,25.3,0.5,4
CANALR,30.9,43.5,24.2,0.4,4
EUGEO1,30.8,40.4,11.5,0.2,3
CROTLA,42.4,53.2,21.6,0.2,4
SANTAP,42,59.4,20.3,0.2,4
PTYCCO,45.4,59.7,12.3,0,3
EUGERI,63,53.1,14.8,0.3,3
DIOSSI,67.7,51.1,12.9,0.1,3
SANDKO,72.7,48.2,17.7,0.1,3
BEILDI,67.2,50,13.6,0.2,3
MYRIM3,66,59.5,12,0.2,3
PIMEGR,72.5,52,14.7,0.4,3
DIPLMA,77.6,55.3,18,0.3,3
PAROVA,78.8,57.8,22.1,0,4
MANGQU,76.7,44.2,15.2,0.1,3
PORTAN,75.8,44.5,15.8,0.4,3
NOTHUM,72.5,45,13.5,0.3,3
VATIBE,85.8,45,15.6,0.2,3
MESUFE,85,45.7,15.8,0.5,3
MACATR,81.2,45.6,12.6,0.3,3
ARTOIS,86.6,49,16.3,0.3,3
PIMELO,90.8,49.2,13.9,0.1,3
DIOSBU,91.5,51.1,12.5,0.2,3
GARCMA,84.4,59.2,9.6,-1.8,2
AGLASP,97.2,51.2,12.1,0.4,3
NEOSKI,94.8,57,11.5,0.2,3
TEIJCO,99.4,41.8,14,-1.3,3
VATIOD,97,44.6,10.4,-1.6,3
ALPHEL,95.2,45.8,14.4,0.4,3
SHORM2,93,44.4,13.9,-2.7,3
MEMEO1,81,62,14.9,0.1,3
PELLSA,80.5,60.5,16.67,0.2,3
XANTEU,90.4,70.2,12,-0.5,3
MONOMA,95.6,60.2,14.6,0.2,3
SANTLA,93.3,60.2,13.7,0.3,3
XANTEU,84.8,69.7,12,0,3
MESUFE,80.9,71.3,38,0.3,5
MESURA,81.3,73.5,26.1,0.3,4
OCHAAM,85.1,71.7,15.6,0.2,3
KNEMST,87.8,78.9,30.3,-0.1,5
DACRLA,87.7,76.7,14.5,0.1,3
ELAENI,91.8,68.4,28.4,0.1,4
DRYPKI,90.5,72,13.5,0.3,3
ARTOIS,94.6,76.5,16.2,0.5,3
HERIEL,98.5,65.2,15.3,0.4,3
CALODI,60.3,60.3,27.1,0.3,4
CYATRA,69.5,60.7,21.4,-2.4,4
BARRPE,69,65.5,28.9,0.1,4
DACRLA,64.3,65.2,11.9,0.1,3
MONOMA,63.3,68.9,20.7,0.5,4
DIOSMA,64.1,69.1,18.2,0.1,3
MILLAT,67.5,71.9,14.4,0.2,3
AGLAGL,62.4,74.6,11.5,0.3,3
MILLAT,62.2,78.4,12.5,0.1,3
CANTDI,63.8,78.1,20.7,0.1,4
KNEMLA,70.6,70.2,12.9,0.4,3
EUGEPU,71.8,68.2,15,0.1,3
NEPHCO,72.5,67,12,0.1,3
VATIBE,49.3,62.9,19.7,0.4,3
XANTRU,45.9,63.6,24.4,0.2,4
MACALO,45,62.3,11.3,0.1,3
SHORM2,46.2,66.2,15.9,0.5,3
DACRRO,48,64,11.9,0.1,3
BARRPE,43.1,75.9,17.3,0,3
DIOSBU,54,72.2,15.4,0.1,3
POL1RU,51.8,73,11.3,0.3,3
GIROPA,48.4,71.7,11.3,0,3
ANTICO,57.8,73.4,20.3,0,4
ARTOLO,55.1,76.2,20.2,0.1,4
PAYELU,54,76,12.2,0,3
PAROVA,53.2,76.2,12.3,0.1,3
PAROVA,58.5,68.4,14.5,0,3
DIOSAP,56.2,68.8,14.4,0.2,3
MEL1AN,23.5,62.6,10.9,0.1,3
XERONO,25.6,78.7,25.9,0.4,4
ARTOKE,26.2,75.4,10.2,-1,3
POL1JE,33.1,74,15.4,0.2,3
SHORM1,35,79.6,24.6,0.1,4
LITHEW,33.2,79.4,11.9,0.5,3
GANUSN,39.3,74.4,15.3,0.1,3
PORTAN,35,69.4,20.9,0.4,4
DIPTC1,37.4,66.2,12.7,0,3
XERONO,36.4,67.2,13.1,0.3,3
SHORM1,38.8,67.4,11.7,0.2,3
MESUFE,38.7,64.5,19,0.2,3
SHORP2,33.5,60.6,10.8,0.1,3
MANGQU,4.5,62.7,12,0,3
MESURA,10,63,17.3,0.2,3
POPOTC,9.8,64,15.5,0.1,3
ARTOSC,8.6,77.3,32.6,0.1,5
LANSDO,17.4,73.7,12.8,0.1,3
DACRCO,19.6,64.6,25,0.5,4
SCA1SP,18.8,65.2,10.8,0,3
NAUCOF,16.1,61.2,32.8,0.3,5
ALANRI,13.6,60.9,19.4,0.4,3
MADHCU,14,62.4,10.8,0,3
CYNOMA,5,84.2,8,-2,2
MEMEEX,0.6,83.5,11.1,0,3
DACRR1,3.4,93,19.6,0.2,3
CRY1GR,14,90,11.9,0.3,3
ARTOSC,6.1,97.6,18.8,0.1,3
EUGEGR,7,99.4,22.5,0.1,4
DACRRO,1.7,96.3,17.8,0.5,3
DRYPLO,17.3,97,15.8,0.2,3
XANTEU,18.9,96.4,12.8,0.4,3
EUGEGR,15.7,83.2,24.5,0.2,4
XANTRU,19.2,80.4,10.7,0.1,3
PTEREC,28.4,85.4,34.5,0.5,5
KNEMSC,26,83.1,12.2,0.1,3
MANGQU,28.7,86,15.4,0.2,3
BARRPE,25,98.3,25,0.4,4
KNEMSC,30.9,99.7,18.4,0.5,3
EUGES2,33.5,98,30.5,0.5,5
APORBR,35.5,90,12.4,0,3
BEILM2,36.9,98,13.6,0.1,3
MEL1AN,44.2,80.6,11.5,0.5,3
CROTLA,41.7,82.5,12.5,0.2,3
DIOSSU,43.8,83.2,12.4,0.3,3
EUGEP3,43.8,86.9,21,0.3,4
MESUFE,45.5,92.2,23.8,0.1,4
KNEMMA,40.1,93.7,35.6,0,5
KNEMMA,42.3,95.4,11.6,0.1,3
SHORM1,43.8,96.1,20.4,0.4,4
DACRR1,45,99.4,20.4,0.3,4
BACCRE,49.3,95,14.7,0.3,3
MIC1CA,51.4,95.4,10.7,0,3
AGLASP,54.6,97.8,11.9,0,3
MONOMA,53.5,99.8,11.6,0.3,3
MEMEMI,59.9,99,11.9,0.1,3
ATUNPE,58.6,97.8,11.2,0.3,3
PIMEGR,47.2,86,20.5,0.3,4
SANDKO,50.2,84.2,30.5,0.1,5
EUGEDU,50.7,82.9,16.9,0.3,3
KNEMSC,55.1,82.7,17.8,0.4,3
PAYELU,54.2,84.1,14.5,0.1,3
NEOSKI,59.3,82.7,37.7,0.5,5
KNEMSC,48.4,88,12,0.2,3
XANTRU,47.3,99.9,24.8,0.5,4
XANTEU,64.4,99.5,13.4,0.2,3
SHORM1,70.5,89,29.3,0.3,4
DRYPLO,70.8,95.7,15.7,0.3,3
SHORM1,75.9,83.2,15.4,0.2,3
NAUCOF,73.8,81,12.4,0.1,3
TIMOWA,67.6,81.4,14.2,0,3
DIOSSI,72.4,99.6,13.6,0.1,3
APORBR,82,81.6,13.8,0.2,3
MEMEAM,85.2,83,13.5,0.3,3
APORAU,87.4,84,13.2,0.4,3
ALANRI,90.8,80.7,11.6,0,3
DACRR1,89.8,81.6,13.8,0.5,3
ELAEP3,93.5,85,13.4,0.2,3
ARTOKE,94,83.2,12.3,0.1,3
APORBR,96,83.5,10.5,0.1,3
POL1RU,82.6,89.8,19.9,0.3,3
EUGEC1,80.3,86,18.2,0.1,3
DIPTC1,85.3,88.2,11.7,0.1,3
DRYPLO,80.7,91.6,15.2,0.1,3
ELLATA,80.4,93.4,11,0,3
EUGEC1,83.4,96.1,16,-2,3
GIRONE,86.8,95.3,15.4,0.3,3
DIPTC1,90.5,95.1,22.5,0.2,4
INTSPA,91.4,93.7,23.8,0,4
SHORM1,92,93.3,13.7,0.5,3
XERONO,99.8,93,11.2,-0.4,3
MEZZLE,89.2,108.8,14.8,0.1,3
PTYCCO,89.4,108.7,10.9,0,3
ALANEB,84.5,118,15.6,0.4,3
KOILLO,89.7,118.1,22,0.2,4
DRYPPE,98.9,116.9,11.7,0.1,3
MEMEAM,98.2,101.2,12,0.5,3
ALANRI,64.2,104.1,13.1,0,3
DACRR1,62.2,101.8,10.6,-0.1,3
SHORM2,68.3,104.2,26,-0.4,4
EUGEPU,69.1,108,18.5,0.3,3
DIOSRU,70.4,109,11.5,0.2,3
LEPISE,71.6,115.2,30,0.2,5
SYMPAD,72,114.5,18.3,0.4,3
SHORM2,61.2,109.2,33.8,0.5,5
SCA2MA,68.1,117.2,19.1,0.5,3
APORNI,74,115.5,13.4,0.1,3
MEMEMI,74.5,118.2,13.6,0.2,3
KNEMPA,79.2,119.2,14.9,0.3,3
HOPEME,78.6,118,14,0.5,3
GIROPA,77,100.8,13.9,0.5,3
NEPHER,41.6,108.3,18.8,0.1,3
SHORM2,44.3,115.9,14.8,0,3
CALOSO,47.6,113.1,11.5,0.2,3
PIMEGR,48.4,115.2,15.4,0.4,3
RYPAKU,48.4,111.4,12.3,0.1,3
DIPLMA,51.5,111,17.6,0.4,3
BACCPY,54.6,111.5,12.1,0.4,3
GARCPA,56.8,115.1,15.3,0.2,3
BEILP2,56.2,117.4,12.6,0.4,3
EUGESC,57.4,114.6,12,0.4,3
ALPHMA,56.4,117,11.9,0.4,3
ARTOLO,26.8,100.5,29.1,0.4,4
DACRR1,31.8,100.1,19.3,0,3
DACRR1,31.5,101.9,18.9,0.2,3
LANSDO,23.2,108.8,29.9,0.4,4
XANTRU,25.3,113.5,32.5,0.4,5
SHORM1,22,119.8,11.4,0.2,3
XANTEU,35.1,115.3,12.5,-0.1,3
PALAH2,39.7,117.6,27.8,0,4
HORSPO,38.1,114.1,20.3,0.2,4
NEPHER,39,109.4,25.7,-2.6,4
DACRRO,33.2,116.8,22.2,0.4,4
LANSDO,38,105.8,17.4,0.1,3
DURIGR,3.2,102.9,28.5,-0.2,4
MACALO,8.7,102.6,11.7,0.4,3
MESUFE,9.3,103,25.3,0.5,4
OCHAAM,3.3,115,17.7,0.5,3
MACALO,13.5,105.5,11.5,0.2,3
KNEMLA,14.2,106.4,11.8,0.4,3
EUGESU,15.6,112.5,18.7,0.4,3
ALANRI,4.2,125.7,22.8,0.3,4
MEMEPU,4.8,124.8,13.2,0.3,3
GONOGR,8.1,122.3,11.4,0.1,3
NEOSKI,8,121.4,15.4,0.4,3
PORTAN,7.2,124.3,14.5,0.2,3
MANGQU,13.8,129.8,13.2,0.4,3
EUGEC1,5.7,131.1,15.6,0.2,3
CROTLA,8,131,17.2,0.3,3
RYPAKU,1.4,137.3,12,-0.2,3
CASTME,3.3,138,14.3,0,3
SHORP1,0.4,138.2,12.8,0.4,3
MEMEMI,11.5,138.2,10.5,-0.1,3
GARCPA,12.8,137.5,11.5,0.2,3
KIBAMA,15.4,137.2,12.5,0.4,3
DURIGR,17.7,121.5,15,0,3
HOPEME,18,122,17.1,0.1,3
TRI3MA,17.7,121.2,13.1,0.5,3
XANTEU,20,120,13.2,0,3
XANTGR,28.2,132.8,14.4,0.3,3
PTYCCO,34.1,131.7,14.4,0.1,3
GANUSN,32.6,127.6,38.1,0.3,5
MEMEAM,37.8,124.2,12.7,0.2,3
ELATTA,39.2,121.4,38.3,0.2,5
EUGECL,39.1,123.2,12.2,0.2,3
DACRR1,50,121.2,14,0.1,3
MILLAT,51.8,121,15.6,0.2,3
DACRR1,46,126.2,14.6,0.1,3
MEMEAM,46.7,127.3,17.2,0.3,3
CANTDI,45.3,127.6,37.5,0.5,5
MESUFE,45,131,12.8,0.4,3
CALOWA,54.8,137.1,24.9,0.3,4
KNEMSC,56,125.5,22.8,0.5,4
PAYELU,40,139.6,17.6,0.1,3
DIOSSI,62.2,124.6,17,0.2,3
SANDKO,64.9,128.8,14.3,0.3,3
VATIBE,79.6,134.3,18.7,0.3,3
DIPTC1,77.2,132.3,14.7,0.1,3
GIROSU,72.8,129,14.9,0.2,3
KNEMSC,75.7,129.7,23.5,0.2,4
DRYPLO,70.6,127.8,11.7,0.2,3
LANSDO,70.6,126.5,13.2,0.1,3
POL1SU,77.8,121.8,16.1,0.5,3
SCA1SP,81,120.4,17.5,0.3,3
MONOMA,89.7,129.4,24.3,0.5,4
BARRPE,83.7,127.4,13,0.5,3
XERONO,82.5,137.6,23.7,0.4,4
CALODI,83.8,132.8,13.8,0.2,3
NEOBHE,84.4,130.2,13.2,0.3,3
CYATRA,90,133,12.9,0.5,3
CLE1SU,90.2,138.5,12.3,0.1,3
DIOSBU,89.7,139.6,11.9,0.1,3
SHORM1,93,137.5,17.9,0.5,3
PAROVA,97.5,134.1,25.8,0.2,4
IXONIC,96.9,128,31.4,0.4,5
SANDKO,93.2,130.5,19.7,0.3,3
XERONO,93.7,123,17.3,0.5,3
MONOMA,83,149,18.9,0,3
SARADE,89.9,157.6,31.4,0.2,5
SARADE,92.7,157.6,30.7,-0.1,5
SARADE,94.4,156.4,31.7,0.1,5
SARADE,93.3,154,26,-2.7,4
SARADE,98.1,149.2,12.6,0.2,3
XANTST,67.6,145.2,21.3,0,4
DURIGR,70.8,146.3,16.1,0.5,3
RYPAKU,67.6,154.4,15.5,0.2,3
IXONIC,65.8,158.8,26.1,0.1,4
DRYPPO,62.2,158.2,12.2,0.2,3
PALAMA,69.4,155,18.1,0.5,3
OCHAAM,68.7,155.8,16,0.2,3
BACCKU,73.8,148.2,13,0,3
MACAHO,75.6,150,22.8,0.4,4
MEL1FU,72.1,150,20.4,0.3,4
POL1SC,70.4,149.4,23,0.3,4
XANTEU,53.5,140.2,17.1,0.1,3
SANTTO,40.5,140.4,21.4,-2.2,4
EUGECL,43.6,144.2,13.6,-1,3
MESURA,50.6,148.8,13.6,0.2,3
RYPAKU,42.1,154.8,16.8,0.4,3
EUGECH,40.5,154.6,14.1,0.3,3
GANUSN,49.8,156.8,21.4,0.2,4
EUGEDU,56.4,150.9,20.7,0.3,4
PAYELU,57.2,148.8,10.9,0.1,3
SANTAP,55.4,142.3,12.3,0.5,3
DIPLMA,26.6,151.1,14.5,0.5,3
PORTAN,22.8,153.5,16.9,-0.5,3
SHORM2,23.5,154.2,11.5,0.1,3
PIMEGR,20.8,154.6,17.5,0.5,3
DRYPLO,38.6,147.3,21.2,0.3,4
KNEMHO,7.1,145.2,31.2,0.1,5
BACCRE,5.8,143.8,18.7,0.4,3
CASTME,5.5,142.8,13.6,0.3,3
EUGEC1,0.4,148,21.3,0.4,4
RYPAKU,0.9,152.9,24.9,0.1,4
CALODI,8.3,152,12,0.2,3
MONOMA,5,152.2,10,-0.1,3
ARCHBU,13.2,148.4,17.5,0.3,3
PTYCCO,3,162.3,15.1,0.1,3
XANTST,2,171.3,16.7,0,3
EUGEFI,2.4,170,16.3,0.2,3
APORPE,2.3,175.4,27.5,0.5,4
SHORM2,8.8,167.6,11.7,0.4,3
HOPEDR,14.4,168.4,11.1,0.1,3
KNEMPA,28.6,161.4,18.5,0.5,3
XANTEU,30.7,161.2,13.7,0.1,3
HOPEME,28.4,163.8,23,-1,4
MYRIM1,21,176.1,16.8,0.4,3
GONYAF,22.1,173.5,12.8,0.2,3
SANTLA,22.2,178.1,13.4,0.1,3
OCHAAM,23.3,177.9,14.1,0.1,3
SINDVE,29.7,173.3,14.4,0.4,3
GREWMI,38.1,170,17.8,0.2,3
DACRLA,41,160.2,22.5,0.5,4
SINDVE,51.8,160.6,11.9,0.3,3
OCHAAM,49.7,162.9,28.2,0.3,4
RYPAKU,45.3,168,21.8,0.5,4
POMEPA,43.7,168.4,13.8,0,3
OCHAAM,40.5,171.3,25.8,0.4,4
PTEREC,45.8,172.7,25.4,0,4
TRI1HY,44.5,177.8,29.2,0.5,4
DIPTC1,52.9,177,11,0,3
SHORP2,52.4,177,12.7,-0.1,3
EUGECL,55.3,179.4,12.1,0.3,3
SHORP1,57,175.5,18.8,0.5,3
MONOMA,53.8,172.5,29.4,0.5,4
DACRR1,54.4,172.2,31.1,0.1,5
CROTAR,56.4,170,10.6,0.2,3
CALODI,56.7,168.5,24.1,0.1,4
BACCRE,59.1,171,19.4,-0.2,3
KIBAAR,59.9,165,12.7,0,3
APORNI,57.3,160,14.2,0.1,3
CROTAR,59.5,162.7,14.3,0.3,3
PIMEGR,60,162.8,22,0.5,4
PAROVA,67,165.8,26.3,0.3,4
XERONO,70.1,163.1,24.8,0.2,4
PALAMA,68.3,170.1,20.4,0.3,4
ALANEB,72.1,167.9,16,0.2,3
PORTAN,65,172,11.4,-0.2,3
GARCAT,64,172.2,11,0.2,3
DACRR1,73.3,173.5,10.8,-1,3
NEOBHE,75.1,170.2,19.7,0.4,3
APORAU,74.4,170.4,10.6,0,3
ALANEB,74.1,169,10.7,-0.1,3
PEN1MO,78.8,169.4,11.4,0.4,3
SCA1SP,70.4,163.2,10.4,0.1,3
CYNOMA,85.4,168.3,12.6,-1.5,3
SARADE,86.1,179.1,16.2,-0.1,3
GIRONE,82.8,178.7,13,0.4,3
SARADE,87.3,177.2,26.1,0.5,4
SARADE,86.8,176,24.4,0.1,4
SARADE,87.5,171.7,17.1,-0.2,3
DRYPPO,85.8,172,11,0.2,3
SARADE,88.4,170.2,20.3,0.3,4
SARADE,89.2,169.1,39.5,0.2,5
SARADE,92.2,174.5,18.5,0.5,3
SARADE,93.7,177.7,16,0.3,3
SARADE,95.9,177.1,14.2,-0.1,3
SARADE,99.2,177.7,13.4,0.2,3
SARADE,95.6,178.4,32.1,-0.1,5
BACCRA,82.4,189.5,14,0.1,3
LEPISE,88,194.4,13.7,0.2,3
SARADE,87.8,184.7,19.2,0,3
SARADE,94.5,192,16.4,0,3
SARADE,95.2,191.3,11.5,0.2,3
SARADE,91.6,199.5,21.7,0.1,4
SARADE,89.4,199.6,13.2,0.2,3
SARADE,87.8,199.8,10,-0.1,3
SARADE,92.1,188.8,17.5,0.2,3
SARADE,90.3,185.7,23.1,0.3,4
SARADE,99.6,184.2,15.9,0.2,3
SARADE,99.6,181.2,26.1,0.3,4
SARADE,98.6,181,12.5,0.3,3
SARADE,99.7,180.6,16.1,0.5,3
SARADE,94.3,180.5,13.9,0.1,3
SARADE,93,180.4,15.8,0,3
SARADE,92.4,181.9,15.7,0,3
EUGE10,62.7,186.4,20.5,0.2,4
ANI1LA,62.2,196,14.8,0.2,3
MILLAT,61.4,196.4,11.2,0.1,3
EUGEDE,62.7,196.4,12.1,0,3
EUGEDE,63.1,193.2,12.6,0,3
APORBR,61.3,199.8,11.7,-0.1,3
CALORU,79.1,195.5,12.9,0.5,3
MEL1TO,76.5,193.3,11.2,0.2,3
CALODI,79,192.5,13.9,0.2,3
PTYCCO,77.4,188.2,16.9,0,3
PIMEGR,76.7,188,10.6,0.1,3
KNEMCU,68.6,189.6,13.7,0,3
ARTOSC,68.4,190.3,21.3,0.3,4
CHISTO,74.1,180.9,15.6,0.1,3
CROTAR,73.8,182.8,15.3,0.2,3
SANDKO,70.4,181.4,12.1,0.3,3
SHORM1,55.3,182.2,22.5,0.2,4
DRYPLO,49.2,184,21,0.1,4
ALANEB,52.4,189,13.4,0.2,3
ALANRI,45.7,189.7,27.8,0.3,4
EUGESP,46.3,190.8,15.2,0.3,3
XERONO,43.6,195.1,12.8,0.3,3
PIMEGR,50.5,193.5,24.6,0.2,4
CYNOMA,49.7,199.3,20,0,4
CROTAR,49.2,197.6,18,0.2,3
EUGES2,54.8,199.6,16.9,0.3,3
PIMEGR,55.8,190.2,22.5,0.2,4
DACRCO,52.3,189.9,38.4,0.1,5
PTEREC,25.3,181.1,26.2,0.2,4
ALPHMA,23.9,191.4,13.1,0.1,3
EUGESD,27.2,190,13.9,0.1,3
PORTAN,31.9,191,16.2,0,3
VATIBE,32.5,196.7,16.4,0.4,3
CINNIN,32.7,192.2,14.5,0.2,3
TIMOWA,31,194.5,12.8,0.3,3
AIDICO,37.5,194.5,22.5,0.4,4
CROTAR,35.1,195,12.8,0.2,3
POL1HY,36.9,184.4,14.1,0.2,3
PEN1MO,34.6,183.7,14.2,0.1,3
INTSPA,35.9,180.6,27.1,0.3,4
GREWMI,4.8,190,16.8,0.3,3
SCA1SP,3,186.8,13.9,0.2,3
CALODI,5.4,191.2,23.8,0.5,4
XYLOFS,10.2,197.9,29.4,0.1,4
NEPHMA,17.1,187.4,22.8,0.3,4
MESURA,18.6,198,12.6,0.5,3
OCHAAM,16.6,198.1,33.6,0.5,5
